Name,Price,24h Change %,24h High,24h Low
Bitcoin,63645,2.37368,64156,61206
Ethereum,1692.99,3.89737,1706.32,1607.48
Tether,0.999451,-0.01315,0.999605,0.99918
BNB,604.98,1.85053,607.18,587.0
USDC,0.999729,0.00312,1.001,0.999031
XRP,1.17,2.68395,1.18,1.12
Solana,67.18,3.03531,67.62,63.72
TRON,0.325964,-0.44722,0.327727,0.324685
Figure Heloc,1.031,2.58504,1.033,1.005
Hyperliquid,64.13,9.44876,65.57,57.17
